id,cell,lang,label,rung,family,role,verdict,rate_warp,source,channel,arm,fps,n_frames,m.dur_s,m.amp,m.vel_rms,m.vel_rms_excess,m.noise_sigma,m.thr_used,m.n_events,m.event_rate,m.prom_median,m.prom_max,m.max_over_median,m.gini,m.cv,m.mean_in_span,fplan.n_f0_peaks,fplan.n_events,fplan.recall,fplan.precision,fplan.events_per_f0,fplan.recall_chance,fplan.recall_excess,fplan.precision_chance,fplan.precision_excess,fplan.hits,fpost.n_f0_peaks,fpost.n_events,fpost.recall,fpost.precision,fpost.events_per_f0,fpost.recall_chance,fpost.recall_excess,fpost.precision_chance,fpost.precision_excess,fpost.hits,coup.r_phrase,coup.lag_phrase,coup.r_tone,coup.lag_tone,coup.r_phrase_rev,coup.r_tone_rev,coup.tone_band_frac,accent_resp_median,fplan.recall_chance_cross,fplan.recall_excess_cross,x.k_praat,x.k_pyin,x.g_ip,x.reg_praat,x.reg_pyin,x.d_rms_speech_db
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,brow_inner,clean,60,154,1.53333,0.096241,0.13928,0.139264,0.000341773,0.0114082,1,0.652174,0.0316928,0.0316928,,,,0.0968433,3,1,0.333333,1,0.333333,0.265,0.0683333,0.795,0.205,1,3,1,0.333333,1,0.333333,0.158333,0.175,0.475,0.525,1,0.313438,-0.05,0.449525,0.0166667,0.525154,0.258286,0.0283457,0.0651691,0.416667,-0.0833333,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,brow_inner,noise,60,154,1.53333,0.0976598,0.148338,0.145626,0.0046588,0.0158561,1,0.652174,0.0322374,0.0322374,,,,0.0971111,3,1,0.333333,1,0.333333,0.265,0.0683333,0.795,0.205,1,3,1,0.333333,1,0.333333,0.158333,0.175,0.475,0.525,1,,,,,,,,,0.416667,-0.0833333,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,brow_outer,clean,60,154,1.53333,0.0400867,0.0940054,0.0939898,0.000283003,0.00991129,2,1.30435,0.0157305,0.0161885,1.02911,,,0.0120103,3,2,0.666667,1,0.666667,0.456667,0.21,0.7675,0.2325,2,3,2,0.333333,0.5,0.666667,0.3,0.0333333,0.45,0.05,1,0.335471,0.466667,0.358852,0.2,0.706048,0.221098,0.125543,0.0152725,0.5,0.166667,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,brow_outer,noise,60,154,1.53333,0.0386262,0.0923235,0.0906839,0.00285812,0.0132362,2,1.30435,0.0160259,0.0169591,1.05823,,,0.0124116,3,2,0.666667,1,0.666667,0.453333,0.213333,0.7575,0.2425,2,3,2,0.333333,0.5,0.666667,0.3,0.0333333,0.45,0.05,1,,,,,,,,,0.416667,0.25,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,lid_upper,clean,60,154,1.53333,0.054671,0.126745,0.126742,0.000147636,0.00167384,2,1.30435,0.0147049,0.0205222,1.39561,,,-0.00906887,3,2,0.666667,1,0.666667,0.533333,0.133333,0.8,0.2,2,3,2,0,0,0.666667,0.3,-0.3,0.45,-0.45,0,0.384192,0.466667,0.322754,0.45,0.544656,0.279082,0.0760405,0.00870238,0.75,-0.0833333,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,lid_upper,noise,60,154,1.53333,0.0542793,0.126654,0.126612,0.000537162,0.00207559,2,1.30435,0.0144515,0.0202527,1.40143,,,-0.00911977,3,2,0.666667,1,0.666667,0.528333,0.138333,0.7925,0.2075,2,3,2,0,0,0.666667,0.29,-0.29,0.435,-0.435,0,,,,,,,,,0.75,-0.0833333,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,jaw,clean,60,154,1.53333,0.276317,0.910387,0.910273,0.00237496,0.0321294,4,2.6087,0.149165,0.232846,1.561,0.19862,0.366199,0.147581,3,4,1,0.75,1.33333,0.768333,0.231667,0.77625,-0.02625,3,3,4,1,0.75,1.33333,0.563333,0.436667,0.4725,0.2775,3,-0.0387018,-0.2,0.270188,0.45,0.0942236,0.370827,0.233762,0.155595,0.833333,0.166667,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,jaw,noise,60,154,1.53333,0.280773,0.895944,0.8933,0.011348,0.0432549,4,2.6087,0.147436,0.241047,1.63492,0.212608,0.388145,0.147204,3,4,1,0.75,1.33333,0.768333,0.231667,0.77625,-0.02625,3,3,4,1,0.75,1.33333,0.563333,0.436667,0.4725,0.2775,3,,,,,,,,,0.75,0.25,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,brow_inner_net,clean,60,154,1.53333,0.154556,0.414783,0.414684,0.00149343,0.0172364,3,1.95652,0.0611818,0.1356,2.21634,0.360701,0.670974,-0.269597,3,3,0.666667,0.666667,1,0.751667,-0.085,0.798333,-0.131667,2,3,3,0.333333,0.333333,1,0.466667,-0.133333,0.466667,-0.133333,1,,,,,,,,,0.5,0.166667,1,1,1,0,0,0
cn_esd0002_short3_ang__c100,cn_esd0002_short3_ang,cn,ang,c100,null,null,ok,1,emoface,brow_inner_net,noise,60,154,1.53333,0.151308,0.410502,0.408276,0.00704454,0.0253237,2,1.30435,0.09653,0.132261,1.37015,,,-0.270189,3,2,0.333333,0.5,0.666667,0.51,-0.176667,0.7925,-0.2925,1,3,2,0,0,0.666667,0.3,-0.3,0.45,-0.45,0,,,,,,,,,0.416667,-0.0833333,1,1,1,0,0,0
