source,channel,arm,family,metric,excl_fail,slope,ci_lo,ci_hi,p_boot_le0,rho,rho_items_mean,frac_monotone,r_within,swing_frac,n_items,n_cells,log_y_used,subset
emoface,brow_mean,clean,span,m.amp,False,-0.0082129,-0.10189,0.099051,0.5835,-0.054071,-0.15833,0.083333,-0.034173,0.18467,60,12,True,all
emoface,brow_mean,clean,span,m.amp,True,-0.0010252,-0.097873,0.10725,0.5295,0.003599,-0.083333,0.16667,-0.0042826,0.18307,58,12,True,excl_fail
emoface,brow_mean,clean,span,m.amp,False,-0.035435,-0.078796,-0.00050481,0.981,-0.099231,-0.24,0,-0.1854,0.079511,25,5,True,lang:cn (descriptive)
emoface,brow_mean,clean,span,m.amp,False,0.039446,-0.078096,0.24698,0.277,0.092857,0.1,0,0.17464,0.17976,15,3,True,lang:en (descriptive)
emoface,brow_mean,clean,span,m.amp,False,-0.018111,-0.22877,0.29203,0.566,-0.10827,-0.25,0.25,-0.062227,0.29918,20,4,True,lang:jp (descriptive)
emoface,brow_mean,clean,span,m.vel_rms,False,-0.058148,-0.11246,-0.0013727,0.979,-0.33632,-0.15,0,-0.28113,0.19211,60,12,True,all
emoface,brow_mean,clean,span,m.vel_rms,True,-0.052621,-0.11086,0.006832,0.961,-0.30241,-0.075,0.083333,-0.25652,0.19211,58,12,True,excl_fail
emoface,brow_mean,clean,span,m.event_rate,False,-0.12858,-0.21681,-0.036708,0.998,-0.28887,,0,-0.30121,0.27206,60,12,False,all
emoface,brow_mean,clean,span,m.event_rate,True,-0.1321,-0.22121,-0.039935,0.998,-0.29771,-0.28823,0,-0.3053,0.27206,58,12,False,excl_fail
emoface,brow_mean,clean,span_pyin,m.amp,False,0.017392,-0.12935,0.070409,0.3645,-0.088636,-0.21667,0.083333,0.098683,0.18467,60,12,True,all
emoface,brow_mean,clean,span_pyin,m.amp,True,0.021462,-0.12407,0.077192,0.3245,-0.041435,-0.083333,0.16667,0.12306,0.18307,58,12,True,excl_fail
