panel,row,rung,cell,voice,brow,brow_ci_lo,brow_ci_hi,s_t,s_t_ci_lo,s_t_ci_hi,slope,slope_ci_lo,slope_ci_hi,n_cells,n_items
a,step mean,tgt100,,,-0.01344413,-0.03038124,0.00762379,0.00198862,-0.00185829,0.00557191,,,,12,12
a,step mean,src,,,0.00005340,-0.01236273,0.01121842,0.00024384,-0.00162795,0.00207697,,,,12,12
a,step mean,k050,,,-0.00712996,-0.03963362,0.02127409,0.00201760,-0.01538695,0.01358192,,,,12,12
a,step mean,k167,,,-0.02733542,-0.05297931,-0.00048719,0.00175566,-0.00460825,0.01046038,,,,12,12
a,step mean,g060,,,0.01247637,-0.01781417,0.05167140,0.00282936,-0.00005828,0.00563672,,,,12,12
a,step mean,g150,,,0.01608138,-0.00381461,0.03721745,-0.01090754,-0.02493759,-0.00187056,,,,12,12
a,step mean,rate090,,,-0.03476903,-0.07317167,0.00025729,0.00113250,-0.00175050,0.00387544,,,,12,12
a,step mean,r+2,,,-0.06593663,-0.09373190,-0.03840065,0.00500164,0.00150045,0.00855279,,,,12,12
a,step mean,r+4,,,-0.06888994,-0.11522618,-0.02624480,0.01035732,0.00209903,0.01779375,,,,12,12
a,step mean,effort0,,,-0.07585633,-0.13939029,-0.01370822,0.01646003,0.01004335,0.02316591,,,,12,12
a,step mean,effort,,,-0.07204392,-0.13661267,-0.01020653,0.01613260,0.00974764,0.02282560,,,,12,12
b,item,src,cn_esd0002_short3_ang,zh,0.01189816,,,-0.00537402,,,,,,,
b,item,tgt100,cn_esd0002_short3_ang,zh,-0.03971355,,,-0.01240863,,,,,,,
b,item,k050,cn_esd0002_short3_ang,zh,-0.02952276,,,-0.00581303,,,,,,,
b,item,k075,cn_esd0002_short3_ang,zh,-0.03750637,,,-0.01909031,,,,,,,
b,item,k133,cn_esd0002_short3_ang,zh,-0.03751056,,,-0.01809237,,,,,,,
b,item,k167,cn_esd0002_short3_ang,zh,-0.10347865,,,-0.01343565,,,,,,,
b,item,g060,cn_esd0002_short3_ang,zh,0.05342886,,,-0.00405633,,,,,,,
b,item,g150,cn_esd0002_short3_ang,zh,0.02670046,,,-0.01353621,,,,,,,
b,item,lvl+6,cn_esd0002_short3_ang,zh,-0.00708631,,,-0.00030853,,,,,,,
b,item,less,cn_esd0002_short3_ang,zh,0.00131452,,,-0.01305542,,,,,,,
b,item,more,cn_esd0002_short3_ang,zh,-0.01270325,,,-0.03602054,,,,,,,
b,item,r+2,cn_esd0002_short3_ang,zh,-0.15428524,,,0.00272030,,,,,,,
b,item,r+4,cn_esd0002_short3_ang,zh,-0.18064088,,,-0.01857008,,,,,,,
b,item,rate090,cn_esd0002_short3_ang,zh,-0.02247500,,,-0.00317823,,,,,,,
b,item,effort0,cn_esd0002_short3_ang,zh,-0.30017571,,,0.01413300,,,,,,,
b,item,effort,cn_esd0002_short3_ang,zh,-0.29404373,,,0.01457579,,,,,,,
b,item,src,cn_esd0002_short3_hap,zh,-0.03704966,,,-0.00529209,,,,,,,
b,item,tgt100,cn_esd0002_short3_hap,zh,-0.04741981,,,0.01326827,,,,,,,
b,item,k050,cn_esd0002_short3_hap,zh,-0.01541127,,,0.02600311,,,,,,,
