source,arm,channel,window,unit,recall,recall_lo,recall_hi,recall_p05,recall_p95,exc_circ,exc_circ_lo,exc_circ_hi,exc_circ_p05,exc_circ_p95,exc_cross,exc_cross_lo,exc_cross_hi,exc_cross_p05,exc_cross_p95,events_per_f0,events_per_f0_lo,events_per_f0_hi,events_per_f0_p05,events_per_f0_p95,event_rate,event_rate_lo,event_rate_hi,event_rate_p05,event_rate_p95,n,n_clusters,scope,prec_exc,prec_exc_lo,prec_exc_hi,coup_minus_rev,coup_minus_rev_lo,coup_minus_rev_hi
human_all,human,brow_inner,plan,clip (actor bootstrap),0.65278,0.6165,0.68556,0,1,0.036963,0.016493,0.055404,-0.53,0.475,0.062539,0.04125,0.083227,-0.65517,0.54023,1.3756,1.2827,1.4718,0.33333,3,1.3133,1.2542,1.369,0.52174,2.1948,1362,24,,,,,,,
human_E4,human,brow_inner,plan,clip (actor bootstrap),0.67267,0.63245,0.71084,0,1,0.026176,0.0015163,0.048057,-0.46513,0.40787,0.077377,0.04488,0.11044,-0.62069,0.5296,1.3422,1.2509,1.4431,0.5,3,1.4004,1.335,1.4626,0.56524,2.2857,738,24,,,,,,,
human_E4_normal,human,brow_inner,plan,clip (actor bootstrap),0.63659,0.58858,0.68475,0,1,0.029094,-0.0042553,0.060413,-0.50325,0.435,0.031496,-0.01024,0.076828,-0.63621,0.51609,1.2938,1.154,1.4455,0.33333,3,1.3193,1.2526,1.3887,0.55046,2.1602,363,24,,,,,,,
human_E4_strong,human,brow_inner,plan,clip (actor bootstrap),0.7076,0.66247,0.75023,0,1,0.023352,-0.00064266,0.04703,-0.42188,0.39217,0.12179,0.081779,0.15971,-0.58621,0.53621,1.389,1.2914,1.4882,0.5,3,1.479,1.3862,1.5684,0.58484,2.4117,375,24,,,,,,,
human_all,human,brow_outer,plan,clip (actor bootstrap),0.61938,0.5869,0.65071,0,1,0.049645,0.032346,0.06623,-0.51475,0.52713,0.057871,0.041953,0.072754,-0.63793,0.55172,1.276,1.1927,1.3616,0.33333,3,1.2101,1.153,1.266,0.47244,2.1622,1362,24,,,,,,,
human_E4,human,brow_outer,plan,clip (actor bootstrap),0.6432,0.60488,0.68206,0,1,0.043256,0.022757,0.06258,-0.4315,0.4625,0.077865,0.053431,0.10565,-0.62069,0.55172,1.248,1.1581,1.341,0.33333,3,1.3022,1.2298,1.3718,0.52174,2.2253,738,24,,,,,,,
human_E4_normal,human,brow_outer,plan,clip (actor bootstrap),0.60996,0.56146,0.6592,0,1,0.053064,0.020889,0.085627,-0.3845,0.48475,0.027472,-0.014063,0.06991,-0.62069,0.51724,1.1846,1.0595,1.3196,0.33333,3,1.2087,1.1255,1.2898,0.5042,2.168,363,24,,,,,,,
human_E4_strong,human,brow_outer,plan,clip (actor bootstrap),0.67538,0.63324,0.71452,0,1,0.033762,0.0060453,0.058751,-0.52225,0.431,0.12664,0.09635,0.1547,-0.58621,0.57471,1.3095,1.2164,1.4128,0.5,3,1.3926,1.3159,1.474,0.53767,2.2625,375,24,,,,,,,
human_all,human,brow_inner,post,clip (actor bootstrap),0.37104,0.34332,0.39753,0,1,-0.0046815,-0.0243,0.015474,-0.51237,0.62738,0.025984,0.0085278,0.044223,-0.44828,0.68966,1.3756,1.2827,1.4718,0.33333,3,1.3133,1.2542,1.369,0.52174,2.1948,1362,24,,,,,,,
human_E4,human,brow_inner,post,clip (actor bootstrap),0.38799,0.36089,0.41576,0,1,-0.011124,-0.035725,0.017233,-0.52,0.56,0.039559,0.014393,0.068701,-0.44828,0.68966,1.3422,1.2509,1.4431,0.5,3,1.4004,1.335,1.4626,0.56524,2.2857,738,24,,,,,,,
human_E4_normal,human,brow_inner,post,clip (actor bootstrap),0.3579,0.3141,0.40359,0,1,-0.014768,-0.050997,0.02276,-0.50425,0.559,0.0012118,-0.041631,0.045557,-0.44828,0.68736,1.2938,1.154,1.4455,0.33333,3,1.3193,1.2526,1.3887,0.55046,2.1602,363,24,,,,,,,
human_E4_strong,human,brow_inner,post,clip (actor bootstrap),0.41711,0.38311,0.45121,0,1,-0.0075973,-0.041677,0.026895,-0.5305,0.55767,0.076678,0.041162,0.11035,-0.43678,0.68966,1.389,1.2914,1.4882,0.5,3,1.479,1.3862,1.5684,0.58484,2.4117,375,24,,,,,,,
human_all,human,brow_outer,post,clip (actor bootstrap),0.33694,0.31184,0.36206,0,1,-0.0084235,-0.027784,0.010852,-0.47,0.62,0.0080593,-0.008697,0.025068,-0.45977,0.67787,1.276,1.1927,1.3616,0.33333,3,1.2101,1.153,1.266,0.47244,2.1622,1362,24,,,,,,,
human_E4,human,brow_outer,post,clip (actor bootstrap),0.35901,0.32721,0.39151,0,1,-0.009402,-0.030142,0.01329,-0.46538,0.58037,0.02669,0.00041027,0.05701,-0.45,0.67241,1.248,1.1581,1.341,0.33333,3,1.3022,1.2298,1.3718,0.52174,2.2253,738,24,,,,,,,
human_E4_normal,human,brow_outer,post,clip (actor bootstrap),0.32346,0.27677,0.36941,0,1,-0.01461,-0.048536,0.020069,-0.46175,0.579,-0.020664,-0.062579,0.026458,-0.48276,0.65517,1.1846,1.0595,1.3196,0.33333,3,1.2087,1.1255,1.2898,0.5042,2.168,363,24,,,,,,,
human_E4_strong,human,brow_outer,post,clip (actor bootstrap),0.39342,0.35784,0.42735,0,1,-0.0043609,-0.033003,0.023824,-0.4665,0.57725,0.07253,0.040877,0.10439,-0.41823,0.68966,1.3095,1.2164,1.4128,0.5,3,1.3926,1.3159,1.474,0.53767,2.2625,375,24,,,,,,,
emoface,clean,brow_inner,plan,c100 item (cell bootstrap),0.57143,0.36111,0.77143,,,0.037835,-0.14531,0.217,,,0.12636,-0.18477,0.44696,,,1.0536,0.73413,1.3768,,,1.1622,0.83086,1.5035,,,12,12,c100,0.025287,-0.14136,0.20977,0.10587,-0.10877,0.36022
emoface,clean,brow_inner,post,c100 item (cell bootstrap),0.35238,0.16667,0.56032,,,0.018542,-0.12574,0.1796,,,,,,,,1.0536,0.73413,1.3768,,,1.1622,0.83086,1.5035,,,12,12,c100,0.040046,-0.13381,0.20781,0.10587,-0.10877,0.36022
emoface,clean,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.593,0.45793,0.7175,,,0.093676,-0.0014906,0.20869,,,0.12652,-0.070556,0.33081,,,0.95649,0.73489,1.1732,,,1.0741,0.83885,1.3017,,,168,12,all_nonrate_rungs,0.066965,-0.052365,0.1948,-0.0038678,-0.12093,0.10061
emoface,clean,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.37577,0.24559,0.50616,,,0.069299,-0.038733,0.19429,,,,,,,,0.95649,0.73489,1.1732,,,1.0741,0.83885,1.3017,,,168,12,all_nonrate_rungs,0.095602,-0.031824,0.23313,-0.0038678,-0.12093,0.10061
emoface,clean,brow_outer,plan,c100 item (cell bootstrap),0.64008,0.46666,0.79961,,,0.0035972,-0.15259,0.12243,,,0.13274,-0.065741,0.33321,,,1.4563,0.88686,2.2202,,,1.4843,1.0606,1.9662,,,12,12,c100,0.022927,-0.08365,0.1238,0.087783,-0.099392,0.28295
emoface,clean,brow_outer,post,c100 item (cell bootstrap),0.36429,0.20833,0.54485,,,-0.052476,-0.17873,0.072734,,,,,,,,1.4563,0.88686,2.2202,,,1.4843,1.0606,1.9662,,,12,12,c100,-0.016003,-0.15022,0.1375,0.087783,-0.099392,0.28295
emoface,clean,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.63812,0.46094,0.78815,,,0.015842,-0.10658,0.099718,,,0.10428,-0.088248,0.28261,,,1.3848,0.86936,2.0836,,,1.4345,1.0376,1.8658,,,168,12,all_nonrate_rungs,-0.0069336,-0.088604,0.073069,0.070256,-0.077435,0.23373
emoface,clean,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.37333,0.20932,0.56116,,,-0.029437,-0.14931,0.087033,,,,,,,,1.3848,0.86936,2.0836,,,1.4345,1.0376,1.8658,,,168,12,all_nonrate_rungs,-0.0046649,-0.1019,0.10048,0.070256,-0.077435,0.23373
emoface,noise,brow_inner,plan,c100 item (cell bootstrap),0.64563,0.46462,0.81392,,,0.1727,0.053978,0.31394,,,0.2286,-0.022568,0.49227,,,0.91111,0.64722,1.1889,,,1.0425,0.72432,1.407,,,12,12,c100,0.13581,-0.039819,0.30523,,,
emoface,noise,brow_inner,post,c100 item (cell bootstrap),0.44048,0.24444,0.65,,,0.14281,-0.022973,0.32953,,,,,,,,0.91111,0.64722,1.1889,,,1.0425,0.72432,1.407,,,12,12,c100,0.15437,-0.050408,0.35723,,,
emoface,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.53682,0.40884,0.66906,,,0.10673,0.01615,0.22539,,,0.12893,-0.061207,0.3424,,,0.80145,0.58898,1.0067,,,0.90094,0.66621,1.1365,,,168,12,all_nonrate_rungs,0.10697,-0.019521,0.24112,,,
emoface,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.33923,0.22664,0.45516,,,0.081394,-0.0087046,0.18543,,,,,,,,0.80145,0.58898,1.0067,,,0.90094,0.66621,1.1365,,,168,12,all_nonrate_rungs,0.12976,0.0006297,0.26796,,,
emoface,noise,brow_outer,plan,c100 item (cell bootstrap),0.52897,0.31667,0.74409,,,-0.021403,-0.1698,0.095951,,,0.062368,-0.19957,0.30561,,,1.1869,0.70357,1.803,,,1.2258,0.82579,1.6213,,,12,12,c100,-0.001875,-0.10556,0.092577,,,
emoface,noise,brow_outer,post,c100 item (cell bootstrap),0.33651,0.15278,0.5564,,,-0.016851,-0.14047,0.11165,,,,,,,,1.1869,0.70357,1.803,,,1.2258,0.82579,1.6213,,,12,12,c100,-0.025473,-0.17116,0.10905,,,
emoface,noise,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.55978,0.37704,0.7295,,,-0.0062507,-0.12372,0.071408,,,0.080152,-0.144,0.28334,,,1.2476,0.74978,1.9273,,,1.2804,0.88042,1.7036,,,168,12,all_nonrate_rungs,-0.026776,-0.10782,0.047667,,,
emoface,noise,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.32653,0.15468,0.52421,,,-0.035051,-0.1552,0.080192,,,,,,,,1.2476,0.74978,1.9273,,,1.2804,0.88042,1.7036,,,168,12,all_nonrate_rungs,-0.03263,-0.15285,0.082012,,,
emotalk,clean,brow_inner,plan,c100 item (cell bootstrap),0.63532,0.43254,0.81788,,,-0.029863,-0.13104,0.064928,,,-0.12619,-0.39773,0.11112,,,1.5655,0.94435,2.3115,,,1.567,1.1446,1.9882,,,12,12,c100,-0.053949,-0.18322,0.064333,0.16828,0.027617,0.32597
emotalk,clean,brow_inner,post,c100 item (cell bootstrap),0.35238,0.19405,0.52943,,,-0.090173,-0.21751,0.034764,,,,,,,,1.5655,0.94435,2.3115,,,1.567,1.1446,1.9882,,,12,12,c100,-0.065731,-0.19505,0.078814,0.16828,0.027617,0.32597
emotalk,clean,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.63773,0.44719,0.80883,,,-0.029179,-0.11706,0.057931,,,-0.10371,-0.36214,0.13128,,,1.4991,0.95019,2.1538,,,1.5324,1.1443,1.8957,,,168,12,all_nonrate_rungs,-0.053526,-0.16092,0.051879,0.12487,-0.002796,0.2806
emotalk,clean,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.33597,0.20632,0.46455,,,-0.096785,-0.20121,-0.00025079,,,,,,,,1.4991,0.95019,2.1538,,,1.5324,1.1443,1.8957,,,168,12,all_nonrate_rungs,-0.061966,-0.16106,0.063114,0.12487,-0.002796,0.2806
emotalk,clean,brow_outer,plan,c100 item (cell bootstrap),0.58254,0.35831,0.79206,,,0.0053214,-0.10531,0.11556,,,-0.082242,-0.33526,0.15822,,,1.2806,0.75,1.8947,,,1.281,0.83255,1.6977,,,12,12,c100,-0.015434,-0.13164,0.098264,0.10127,-0.018843,0.24486
emotalk,clean,brow_outer,post,c100 item (cell bootstrap),0.21151,0.080952,0.34052,,,-0.15589,-0.27128,-0.045002,,,,,,,,1.2806,0.75,1.8947,,,1.281,0.83255,1.6977,,,12,12,c100,-0.12744,-0.24151,-0.029837,0.10127,-0.018843,0.24486
emotalk,clean,brow_outer,plan,all_nonrate_rungs item (cell bootstrap),0.64073,0.44944,0.8164,,,0.044342,-0.035318,0.12326,,,-0.036305,-0.27946,0.18035,,,1.3645,0.81915,1.9836,,,1.3426,0.91903,1.7436,,,168,12,all_nonrate_rungs,0.037435,-0.029493,0.11398,0.095309,-0.0062138,0.22511
emotalk,clean,brow_outer,post,all_nonrate_rungs item (cell bootstrap),0.28977,0.15734,0.41856,,,-0.094494,-0.22857,0.032423,,,,,,,,1.3645,0.81915,1.9836,,,1.3426,0.91903,1.7436,,,168,12,all_nonrate_rungs,-0.07517,-0.16523,0.0060597,0.095309,-0.0062138,0.22511
emotalk,noise,brow_inner,plan,c100 item (cell bootstrap),0.60754,0.40278,0.79288,,,-0.016054,-0.12507,0.098664,,,-0.10976,-0.36926,0.12853,,,1.3313,0.83333,1.9167,,,1.3578,0.97039,1.7078,,,12,12,c100,-0.05829,-0.18327,0.057286,,,
emotalk,noise,brow_inner,post,c100 item (cell bootstrap),0.23214,0.1127,0.35598,,,-0.15966,-0.28217,-0.046316,,,,,,,,1.3313,0.83333,1.9167,,,1.3578,0.97039,1.7078,,,12,12,c100,-0.089391,-0.2108,0.054571,,,
emotalk,noise,brow_inner,plan,all_nonrate_rungs item (cell bootstrap),0.59858,0.40675,0.77917,,,-0.0095065,-0.10288,0.091627,,,-0.097274,-0.36221,0.14213,,,1.2921,0.82021,1.8443,,,1.3293,0.97065,1.6579,,,168,12,all_nonrate_rungs,-0.038358,-0.15678,0.067914,,,
emotalk,noise,brow_inner,post,all_nonrate_rungs item (cell bootstrap),0.25329,0.14683,0.35627,,,-0.12709,-0.22557,-0.031106,,,,,,,,1.2921,0.82021,1.8443,,,1.3293,0.97065,1.6579,,,168,12,all_nonrate_rungs,-0.087244,-0.18467,0.020032,,,
emotalk,noise,brow_outer,plan,c100 item (cell bootstrap),0.58254,0.35831,0.79206,,,0.0049702,-0.10539,0.11553,,,-0.082242,-0.33526,0.15822,,,1.2806,0.75,1.8947,,,1.281,0.83255,1.6977,,,12,12,c100,-0.014793,-0.13139,0.098848,,,
emotalk,noise,brow_outer,post,c100 item (cell bootstrap),0.21151,0.080952,0.34052,,,-0.15597,-0.27095,-0.045207,,,,,,,,1.2806,0.75,1.8947,,,1.281,0.83255,1.6977,,,12,12,c100,-0.12774,-0.24111,-0.031137,,,
