source,channel,arm,n,floor_median_abs,floor_p90_abs,floor_max_abs
emoface,brow_mean,clean,24,0.023694,0.11275,0.15951
emoface,brow_mean,noise,24,0.035194,0.11971,0.16662
emoface,brow_inner,clean,24,0.0596,0.13672,0.14931
emoface,brow_inner,noise,24,0.060009,0.13685,0.20964
emoface,brow_outer,clean,24,0.042645,0.13699,0.44039
emoface,brow_outer,noise,24,0.042351,0.15671,0.4721
emoface,lid_upper,clean,24,0.039844,0.19975,0.35754
emoface,lid_upper,noise,24,0.045951,0.24073,0.35612
emoface,jaw,clean,24,0.01329,0.048019,0.073967
emoface,jaw,noise,24,0.024119,0.061734,0.069723
emotalk,brow_mean,clean,24,0.043846,0.12834,0.37731
emotalk,brow_mean,noise,24,0.063818,0.15395,0.40438
emotalk,brow_inner,clean,24,0.040505,0.095422,0.30381
emotalk,brow_inner,noise,24,0.044848,0.10411,0.30278
emotalk,brow_outer,clean,24,0.045068,0.20882,0.45081
emotalk,brow_outer,noise,24,0.067735,0.24485,0.50597
emotalk,lid_upper,clean,24,0.045156,0.11972,0.12703
emotalk,lid_upper,noise,24,0.047879,0.12904,0.15485
emotalk,jaw,clean,24,0.045613,0.10302,0.15849
emotalk,jaw,noise,24,0.058721,0.098155,0.14247
emote,brow_mean,clean,24,0.015328,0.061729,0.12527
emote,brow_mean,noise,24,0.025472,0.047641,0.1415
emote,brow_inner,clean,24,0.023081,0.097195,0.14379
emote,brow_inner,noise,24,0.043292,0.088491,0.14537
emote,brow_outer,clean,24,0.019881,0.079443,0.15269
emote,brow_outer,noise,24,0.033841,0.082635,0.18043
emote,lid_upper,clean,24,0.027533,0.073067,0.15781
emote,lid_upper,noise,24,0.024009,0.075211,0.16534
emote,jaw,clean,24,0.038509,0.056281,0.12576
emote,jaw,noise,24,0.028403,0.071133,0.1158
medtalk,brow_mean,clean,24,0.02271,0.041812,0.076769
medtalk,brow_mean,noise,24,0.026866,0.043296,0.09607
medtalk,brow_inner,clean,24,0.022407,0.06357,0.13458
medtalk,brow_inner,noise,24,0.029359,0.062826,0.14615
medtalk,brow_outer,clean,24,0.030007,0.061394,0.1093
medtalk,brow_outer,noise,24,0.026122,0.079987,0.11003
medtalk,lid_upper,clean,24,0.04438,0.060422,0.082167
medtalk,lid_upper,noise,24,0.036192,0.073045,0.08617
medtalk,jaw,clean,24,0.022389,0.031899,0.048586
medtalk,jaw,noise,24,0.014856,0.050855,0.086423
f0_follower,brow_mean,clean,24,0.050928,0.29152,0.8211
f0_follower,brow_mean,noise,24,0.043563,0.27799,0.71539
energy_follower,brow_mean,clean,24,0.0034059,0.0087534,0.01894
energy_follower,brow_mean,noise,24,0.013667,0.029791,0.065912
medtalk_st,intensity,clean,24,0.0033601,0.0086005,0.013268
