participant,listener_group,in_primary,block,trial_index,is_practice,is_catch,revision,stimulus_file,stim_language,voice_id,voice_emotion,presentation,cue_manip,voice_arm,widget,n_afc,chosen_side,response_emotion,intensity,naturalness,confidence,rt_ms,n_replays,focus_lost,focus_hidden,correct,catch_correct
P01,cn,1,single,0,0,0,0,v6_single_7b8afe562a_2.mp4,en,rav06,ang,AV,,,buttons,7,,ang,7,5,,3674,0,0,0,1,
P01,cn,1,single,1,0,0,0,v6_single_76ee15a092_1.mp4,en,rav04,hap,AV,,,buttons,7,,hap,6,3,,1107,1,0,0,1,
P01,cn,1,single,2,0,0,0,v6_single_802ffa53c5_3.mp4,en,rav20,fear,AV,,,buttons,7,,fear,5,4,,7167,0,0,0,1,
P01,cn,1,single,3,0,0,0,v6_single_24bf624e7d_1.mp4,en,rav16,hap,AV,,,buttons,7,,hap,5,3,,3256,0,0,0,1,
P01,cn,1,single,4,0,0,0,v6_single_739783e84d_3.mp4,en,rav10,fear,AV,,,buttons,7,,sad,3,5,,2721,0,0,0,0,
P01,cn,1,single,5,0,0,0,v6_single_a721e1869f_2.mp4,en,rav18,dis,AV,,,buttons,7,,neu,,4,,1712,1,0,0,0,
P01,cn,1,practice,6,1,0,0,v6_practice_cd0abf6ffd_2.mp4,en,rav22,ang,AV_pair,L:H|R:E,practice:H_vs_E@strong,buttons,7,right,R2,,,,2268,2,0,0,,
P01,cn,1,practice,7,1,0,0,v6_practice_85af89ed95_1.mp4,en,rav10,hap,AV_pair,L:E|R:H,practice:H_vs_E@strong,buttons,7,right,R1,,,,2884,1,0,0,,
P01,cn,1,pair,8,0,0,0,v6_pair_0a26430948_2.mp4,en,rav04,hap,AV_pair,L:H|R:E,H_vs_E@normal,buttons,7,right,R2,,,,761,1,0,0,,
P01,cn,1,pair,9,0,0,0,v6_pair_6f570415b8_1.mp4,en,rav12,fear,AV_pair,L:R|R:H,H_vs_R@strong,buttons,7,right,R1,,,,470,1,0,0,,
P01,cn,1,pair,10,0,0,0,v6_pair_7ef69736a7_2.mp4,en,rav18,dis,AV_pair,L:H|R:R,H_vs_R@strong,buttons,7,right,R2,,,,947,0,0,0,,
P01,cn,1,pair,11,0,0,0,v6_pair_1fc4717f31_2.mp4,en,rav16,hap,AV_pair,L:H|R:E,H_vs_E@normal,buttons,7,right,R3,,,,635,0,0,0,,
P01,cn,1,pair,12,0,0,0,v6_pair_0c8482b715_2.mp4,en,rav02,ang,AV_pair,L:H|R:E,H_vs_E@normal,buttons,7,same,S0,,,,593,0,0,0,,
P01,cn,1,pair,13,0,0,0,v6_pair_a97dec2f4e_2.mp4,en,rav14,hap,AV_pair,L:H|R:R,H_vs_R@strong,buttons,7,right,R1,,,,599,0,0,0,,
P01,cn,1,pair,14,0,0,0,v6_pair_d81bffa4be_2.mp4,en,rav02,ang,AV_pair,L:H|R:E,H_vs_E@strong,buttons,7,left,L1,,,,673,0,0,0,,
P01,cn,1,pair,15,0,0,0,v6_pair_0c7d060d5f_1.mp4,en,rav24,dis,AV_pair,L:E|R:H,H_vs_E@strong,buttons,7,left,L1,,,,1690,0,0,0,,
P01,cn,1,pair,16,0,0,0,v6_pair_93629a9394_2.mp4,en,rav06,ang,AV_pair,L:H|R:R,H_vs_R@strong,buttons,7,same,S0,,,,489,0,0,0,,
